признак;описание
dt;Дата актуальности признаков
target;таргет
turn_cur_cr_avg_act_v2;Средний текущий кредитовый оборот по текущим счетам за 12 месяцев
salary_6to12m_avg;Усреднённая ЗП клиента за окно в минимум 6 месяцев и максимум 12 месяцев
hdb_bki_total_max_limit;БКИ: Максимальный кредитный лимит по любому продукту за все время
dp_ils_paymentssum_avg_12m;данные цифрового профиля
hdb_bki_total_cc_max_limit;БКИ: Максимальный лимит по кредитному продукту Кредитная карта за все время
incomeValue;Значение дохода абонента
gender;Пол клиента
avg_cur_cr_turn;Средний кредитовый оборот по текущим счетам за 3 месяца
adminarea;Регион клиента по geo cross model
turn_cur_cr_avg_v2;Средний кредитовый оборот по текущим счетам за 12 месяцев
turn_cur_cr_max_v2;Максимальный кредитовый оборот по текущим счетам за 12 месяцев
hdb_bki_total_pil_max_limit;БКИ: Максимальный лимит по кредитному продукту Кредит за все время
age;Возраст клиента
dp_ils_avg_salary_1y;данные цифрового профиля
turn_cur_cr_sum_v2;Общий кредитовый оборот по текущим счетам за 12 месяцев
by_category__amount__sum__eoperation_type_name__ishodjaschij_bystryj_platezh_sbp;Средняя сумма электронных операций в категории - Исходящий быстрый платеж СБП за месяц на протяжении года
turn_cur_db_sum_v2;Общий дебетовый оборот по текущим счетам за 12 месяцев
turn_cur_db_avg_act_v2;Средний текущий дебетовый оборот по текущим счетам за 12 месяцев
dp_ils_avg_salary_2y;данные цифрового профиля
curr_rur_amt_cm_avg;Среднее за 12 месяцев среднемесячных остатков на группе счетов Основные текущие счета
turn_cur_db_avg_v2;Средний дебетовый оборот по текущим счетам за 12 месяцев
by_category__amount__sum__eoperation_type_name__vhodjaschij_bystryj_platezh_sbp;Средняя сумма электронных операций в категории - Входящий быстрый платеж СБП за месяц на протяжении года
dp_ils_paymentssum_avg_6m;данные цифрового профиля
avg_cur_db_turn;Средний дебетовый оборот по текущим счетам за 3 месяца
hdb_bki_active_cc_max_limit;БКИ: Максимальный лимит по активному кредитному продукту Кредитная карта
incomeValueCategory;Категория дохода абонента
avg_by_category__amount__sum__cashflowcategory_name__vydacha_nalichnyh_v_bankomate;Средняя сумма транзакций в категории Выдача наличных в банкомате за месяц на протяжении года
avg_credit_turn_rur;Средний кредитовый оборот по всем счетам за 3 месяца
dp_ils_salary_ratio_1y3y;данные цифрового профиля
by_category__amount__sum__eoperation_type_name__perevod_po_nomeru_telefona;Средняя сумма электронных операций в категории - Перевод по номеру телефона за месяц на протяжении года
turn_cur_cr_7avg_avg_v2;Средний кредитовый оборот за последние 7 дней по текущим счетам
dp_ils_accpayment_avg_12m;данные цифрового профиля
curbal_usd_amt_cm_avg;Средний баланс текущих счетов за последние 3 месяца
avg_by_category__amount__sum__cashflowcategory_name__supermarkety;Средняя сумма транзакций в категории Супермаркеты за месяц на протяжении года
avg_loan_cnt_with_insurance;Среднее число кредитов наличными со страховкой, начиная с 2018 года
avg_by_category__amount__sum__cashflowcategory_name__gipermarkety;Средняя сумма транзакций в категории Гипермаркеты за месяц на протяжении года
city_smart_name;Город клиента по методике SMART
uniV5;Скоринг-отчет для банка V5
turn_cur_db_max_v2;Максимальный дебетовый оборот по текущим счетам за 12 месяцев
avg_by_category__amount__sum__cashflowcategory_name__kafe;Средняя сумма транзакций в категории Кафе за месяц на протяжении года
turn_other_db_max_v2;Максимальный дебетовый оборот по другим счетам за 12 месяцев
turn_cur_cr_min_v2;Минимальный кредитовый оборот по текущим счетам за 12 месяцев
hdb_bki_other_active_pil_outstanding;БКИ: Суммарная задолженность по крединым продуктам Кредит в других банках
dp_ewb_last_employment_position;данные цифрового профиля
turn_cur_db_min_v2;Минимальный дебетовый оборот по текущим счетам за 12 месяцев
hdb_bki_total_products;БКИ: Число кредитных продуктов, в которых клиент является основным заемщиком
per_capita_income_rur_amt;Среднедушевой доход в регионе клиента по Росстату
avg_debet_turn_rur;Средний дебетовый оборот по всем счетам за 3 месяца
